Question,Generated Answer,Correct Answer,Evaluation
"In the context of T1078.001 Valid Accounts: Default Accounts, which malware leveraged default credentials to connect to IPC$ shares on remote machines?",A,B,Incorrect
"Based on T1078.001 Valid Accounts: Default Accounts, what is a recommended mitigation strategy to protect against the use of default credentials?",C,C,Correct
Which technique ID corresponds with adversaries abusing domain accounts?,A,B,Incorrect
Which detection method involves monitoring remote desktop logons and comparing them to known/approved originating systems to detect lateral movement?,A,A,Correct
Which adversary group is known to use legitimate account credentials to move laterally through compromised environments?,D,B,Incorrect
Which mitigation involves integrating multi-factor authentication (MFA) as part of organizational policy?,D,D,Correct
What active event code should be monitored in Windows to track Security Logs for user login behaviors?,A,A,Correct
Which adversary group leveraged valid accounts to deploy malware by obtaining highly privileged credentials such as domain administrator?,A,A,Correct
Which of the following threat actors have been known to use local accounts for lateral movement during the SolarWinds Compromise?,A,A,Correct
APT32 is known to use which type of account for their operations according to the examples?,B,C,Incorrect
Which mitigation involves the implementation of LAPS to prevent the reuse of local administrator credentials?,A,A,Correct
What data source should be monitored to detect multiple accounts logging into the same machine simultaneously?,A,A,Correct
Which tool is used by Kimsuky to add a Windows admin account?,C,B,Incorrect
Which malware is specifically noted to record the user's webcam in macOS according to the technique ID T1125 - Video Capture?,A,A,Correct
Which data source and component combination is suggested for detecting the technique T1125 - Video Capture?,D,B,Incorrect
Which malware from the provided examples can access a connected webcam and capture pictures?,D,D,Correct
How does the technique T1125 - Video Capture differ from Screen Capture in terms of execution?,B,B,Correct
Which malware utilizes a custom video recording capability to monitor operations in the victim's environment?,B,A,Incorrect
Which of the following malware families has been documented to use anti-virtualization checks as part of Virtualization/Sandbox Evasion (T1497)?,B,A,Incorrect
What is a common method used by adversaries to evade detection in sandbox environments according to T1497?,A,A,Correct
"Which of the following malware samples is known to perform system checks to determine if the environment is running on VMware, as part of the technique T1497?",D,B,Incorrect
How can adversaries use sleep timers or loops in the context of Virtualization/Sandbox Evasion (T1497)?,C,C,Correct
"During Operation Spalax, what technique did threat actors use to evade anti-analysis checks?",B,D,Incorrect
Which of the following is a detection source for identifying Virtualization/Sandbox Evasion (T1497) tactics?,A,B,Incorrect
What technique ID corresponds to Virtualization/Sandbox Evasion: System Checks?,B,C,Incorrect
Which of the following data sources can be monitored to detect commands that may employ virtualization/sandbox evasion techniques?,B,A,Incorrect
What behavior might Astaroth (S0373) use to evade virtualized environments?,C,C,Correct
Which of these malware samples checks the amount of physical memory to determine if it is being executed in a virtual environment?,A,C,Incorrect
Which tool did Lazarus Group use during Operation Dream Job for VM/sandbox detection?,D,D,Correct
Which malware is known to use the speed and frequency of mouse movements to determine if a real user is present on the system?,C,A,Incorrect
"In MITRE ATT&CK technique T1497.002, what kind of user activity might adversaries rely on before activating malicious code?",C,C,Correct
What data source and component can be monitored to detect actions related to API calls meant for virtualization and sandbox evasion?,D,D,Correct
Which of the following groups uses a loader that executes the payload only after a specific user action to avoid virtualized environments?,C,C,Correct
Which technique is commonly referred to as API hammering?,D,D,Correct
Which procedure example uses NtDelayExecution for pausing execution?,C,D,Incorrect
How does EvilBunny identify a sandbox through time-based evasion?,B,B,Correct
Which malware example uses the kernel32.dll Sleep function to delay execution for up to 300 seconds?,A,C,Incorrect
Which of the following employs a 30-minute delay after execution to evade sandbox monitoring tools?,A,B,Incorrect
How does Clop avoid sandbox detection?,A,D,Incorrect
"Given the MITRE ATT&CK technique T1600.002 on Defense Evasion, which method is primarily used by adversaries to disable dedicated hardware encryption on network devices?",B,B,Correct
Which data component should be monitored to detect unexpected deletions of user accounts associated with T1531 (Account Access Removal) under the tactic of Impact?,D,D,Correct
Which procedure example under T1531 involves adversaries deleting administrator accounts prior to encryption?,D,D,Correct
"When adversaries use the T1531 technique on Windows platforms, which PowerShell cmdlet might they use?",A,C,Incorrect
"In the context of MITRE ATT&CK Technique T1600.001 for Enterprise, which of the following activities could an adversary manipulate to facilitate decryption of data?",B,B,Correct
"Regarding detection for the MITRE ATT&CK Technique T1600.001 (Weaken Encryption: Reduce Key Space) on Enterprise platforms, which method can potentially identify this behavior?",C,B,Incorrect
Adversaries using T1102.001: Web Service: Dead Drop Resolver often utilize popular websites and social media platforms to host C2 information. What is one reason this tactic is effective?,B,B,Correct
"Which threat group is known to use multiple tech community forums to frequently update dead drop resolvers for their KEYPLUG Windows-version backdoor, according to T1102.001?",A,A,Correct
"In the context of technique T1102.001: Web Service: Dead Drop Resolver, which mitigation strategy involves using network signatures to identify and block adversary malware?",B,B,Correct
"Given the detection strategy for T1102.001: Web Service: Dead Drop Resolver, which data source focuses on detecting network traffic that does not follow expected protocol standards and traffic flows?",A,D,Incorrect
Which malware is known to use Microsoft's TechNet Web portal for obtaining dead drop resolvers according to T1102.001?,A,A,Correct
Which MITRE ATT&CK tactic does Technique ID T1102.002 belong to?,B,B,Correct
What is a common method used by adversaries for outbound traffic in Technique ID T1102.002?,A,C,Incorrect
"In the provided examples, which adversary group uses Google Drive for command and control according to Technique ID T1102.002?",C,B,Incorrect
Which of the following mitigations would be most effective against Technique ID T1102.002?,A,C,Incorrect
Which adversary uses RSS feeds among their C2 communication channels as per the examples listed in Technique ID T1102.002?,A,C,Incorrect
"In the context of detection for Technique ID T1102.002, what should be monitored to detect anomalous communications?",C,C,Correct
Adversaries using the MITRE ATT&CK technique T1102.003 may utilize which of the following methods for C2 communication?,B,B,Correct
"In the MITRE ATT&CK framework, which technique (ID: T1047) is used by adversaries to abuse Windows Management Instrumentation for command execution?",B,B,Correct
"During the 2016 Ukraine Electric Power Attack, how did adversaries employ WMI (ID: T1047)?",C,C,Correct
Which of the following ports does WMI use for Remote WMI over WinRM operations?,B,B,Correct
"Which tool, deprecated as of January 2024, can be used to abuse WMI for deleting shadow copies using the command wmic.exe Shadowcopy Delete?",B,C,Incorrect
What mitigation strategy involves using Windows Defender Application Control (WDAC) policy rules to block the execution of wmic.exe on Windows 10 and Windows Server 2016?,B,B,Correct
Which threat group (ID: G0016) used WMI to steal credentials and execute backdoors at a future time?,A,B,Incorrect
"In the LATACH G framework, which group has been attributed to the use of ransomware from a batch file in a network share?",A,B,Incorrect
Which group used a virus that propagates by infecting executables stored on shared drives according to the provided document?,B,A,Incorrect
What is the main focus of the mitigation ID M1022 in the provided text?,A,D,Incorrect
"What data source ID should be monitored for unexpected and abnormal accesses to network shares, according to the provided document?",C,C,Correct
Which of the following Linux commands can be used by adversaries to gather the current time on a Linux device?,B,B,Correct
Which of the following tactics does MITRE ATT&CK technique T1124 align with?,A,C,Incorrect
Which of the following procedures can specifically determine the System UPTIME?,A,D,Incorrect
Which data source can help detect an adversary performing System Time Discovery on a Windows platform?,C,C,Correct
"For the technique T1124, which command can adversaries use on a macOS system to gather the current time zone information?",B,B,Correct
"In the context of MITRE ATT&CK for Enterprise, which of the following adversarial groups has used a custom MBR wiper named BOOTWRECK to initiate a system reboot?",C,B,Incorrect
Which MITRE ATT&CK T1529 adversary behavior example involves a delay before rebooting the system?,B,C,Incorrect
For which platform does the MITRE ATT&CK technique T1529 apply and why is it challenging to mitigate with preventive controls?,A,C,Incorrect
Which technique is identified as T1087 in the MITRE ATT&CK framework?,B,C,Incorrect
Which of the following mitigation strategies helps prevent enumerating administrator accounts through UAC elevation?,B,A,Incorrect
"During the SolarWinds Compromise, which tool did APT29 use to get a list of users and their roles from an Exchange server?",D,D,Correct
Which data source and component should be combined to detect file access operations related to user account listings?,A,B,Incorrect
"Under the MITRE ATT&CK framework for Enterprise, which mitigation can help prevent adversaries from creating or interacting with system services using a lower permission level?",B,C,Incorrect
"Regarding MITRE ATT&CK Technique T1569 (System Services), which detection method involves observing for command line invocations of tools capable of modifying services?",B,B,Correct
"According to MITRE ATT&CK, which adversary group has been known to create system services to execute cryptocurrency mining software?",A,C,Incorrect
"In the context of MITRE ATT&CK for Enterprise, which command can be used to discover Windows services?",B,B,Correct
"Which threat actor is known for using the command net start to discover system services, according to the MITRE ATT&CK pattern for System Service Discovery (T1007)?",A,B,Incorrect
"During detection, which of the following API calls should be monitored for System Service Discovery (T1007)?",B,B,Correct
Which data source should be monitored to detect the execution of commands that gather system service information for System Service Discovery (T1007)?,C,C,Correct
Which threat actor has specifically attempted to discover services for third-party EDR products according to the MITRE ATT&CK technique T1007?,D,C,Incorrect
"According to MITRE ATT&CK, what might adversaries use System Service Discovery information for in post-exploitation activities (T1007)?",B,B,Correct
"Which of the following mitigations aligns with MITRE ATT&CK ID T1216, System Script Proxy Execution, and involves blocking specific signed scripts that are deemed unnecessary in an environment?",C,C,Correct
Which command is used on macOS to enumerate user accounts excluding system accounts?,B,B,Correct
Which utility is commonly used on Linux to identify currently logged in users?,A,A,Correct
Which technique does the ID T1033 pertain to in the MITRE ATT&CK framework?,A,C,Incorrect
"In the context of T1033 on an Enterprise platform, which command can be executed to determine the identity of the current user on a Windows system?",C,C,Correct
Adversaries can use which environment variable to access the username on a Unix-like system?,B,B,Correct
Which adversary group used the whoami command and WMIEXEC utility to identify usernames on remote machines according to T1033?,C,B,Incorrect
Which of the following mitigations is associated with Behavior Prevention on Endpoint in relation to MITRE ATT&CK technique T1216.001 – System Script Proxy Execution: PubPrn?,A,B,Incorrect
What is the primary purpose of the PubPrn.vbs script as per MITRE ATT&CK technique T1216.001 – System Script Proxy Execution: PubPrn?,B,B,Correct
Which data sources are recommended for monitoring the use of PubPrn.vbs according to MITRE ATT&CK technique T1216.001 – System Script Proxy Execution: PubPrn?,C,C,Correct
Which MITRE ATT&CK tactic does the technique T1216.002: System Script Proxy Execution: SyncAppvPublishingServer primarily fall under?,A,C,Incorrect
"Which command-line tool is typically associated with the execution of SyncAppvPublishingServer.vbs, as per the MITRE ATT&CK technique T1216.002?",A,D,Incorrect
What is the primary purpose of adversaries using SyncAppvPublishingServer.vbs in the context of MITRE ATT&CK technique T1216.002?,B,B,Correct
"In the context of MITRE ATT&CK, which procedure example involved using the command ""net use"" as part of network connections discovery?",A,B,Incorrect
Which cyber threat actor used the MAPMAKER tool to print active TCP connections on a local system according to T1049?,C,B,Incorrect
"Under MITRE ATT&CK T1049, which group employed a PowerShell script called RDPConnectionParser for network information from RDP connections?",B,C,Incorrect
"What technique ID and name does MITRE ATT&CK assign to ""System Network Connections Discovery""?",C,C,Correct
"Which group used both the ""netstat -ano"" command and the HIGHNOON malware variant for enumerating active RDP sessions?",B,B,Correct
"In the detection process for T1049, which data source is NOT specified for monitoring executed commands and arguments?",B,D,Incorrect
Which command can be used on a Windows system to enumerate Wi-Fi network names through the command line?,C,D,Incorrect
"On macOS, which command requires an admin username/password to retrieve the password of a known Wi-Fi network?",C,C,Correct
What is a common behavior of the Emotet malware related to Wi-Fi networks?,A,B,Incorrect
Which command would an adversary use on macOS to list local user accounts?,C,C,Correct
Which technique was used by Threat Group-3390 to conduct internal discovery of systems?,A,A,Correct
"Which of the following groups used the command ""net localgroup administrators"" to enumerate administrative users?",C,D,Incorrect
What type of monitoring would detect the command “net user” being executed in a sequence on a Windows environment?,C,C,Correct
What mitigation can be used to prevent the enumeration of administrator accounts during UAC elevation?,C,C,Correct
Which detection mechanism would be appropriate for finding unauthorized access to the /etc/passwd file in a Linux environment?,,B,Incorrect
Which malware uses GetUserDefaultUILanguage to identify and terminate executions based on system language?,A,C,Incorrect
What registry key does Ryuk query to detect system language?,A,A,Correct
Which malware attempts to identify Japanese keyboards via the Windows API call GetKeyboardType?,B,D,Incorrect
How does SynAck handle the situation when a language match is found during its checks?,C,D,Incorrect
Which MITRE ATT&CK Data Source should be monitored to detect system language discovery through API calls?,D,D,Correct
"During ""Operation Dream Job,"" which region's languages were excluded by malware?",A,D,Incorrect
Which specific API call can be utilized by adversaries to collect the number of processors on a Windows machine (MITRE ATT&CK T1082)?,D,C,Incorrect
"What kind of data would adversaries likely gather via authenticated API calls in AWS, GCP, and Azure within an IaaS environment (MITRE ATT&CK T1082)?",C,C,Correct
"Which network device command might adversaries use to obtain system information, particularly version details (MITRE ATT&CK T1082)?",C,C,Correct
Which detection method could be employed to effectively identify attempts to gather system information via command executions on network devices (MITRE ATT&CK T1082)?,A,C,Incorrect
Which tool mentioned in the document can gather detailed system information specifically on Windows systems including OS version and patches (MITRE ATT&CK T1082)?,B,B,Correct
Which MITRE ATT&CK technique T1552 involves adversaries finding and obtaining insecurely stored credentials?,B,B,Correct
"In the examples provided, which malware uses NetPass to recover passwords?",D,A,Incorrect
Which mitigation involves actively searching for files containing passwords or credentials to reduce exposure risk?,B,B,Correct
Which data component specifically involves monitoring command execution to detect potential adversary activity related to finding passwords?,B,B,Correct
What programming method does DarkGate employ to execute NirSoft tools for credential theft?,A,C,Incorrect
Which mitigation strategy is suggested to store keys on separate cryptographic hardware rather than the local system?,C,C,Correct
Which MITRE ATT&CK technique involves using trusted third-party relationships to gain initial access to a victim's network?,A,C,Incorrect
"Which group, as per the procedure examples, has breached managed service providers to deliver malware to their customers?",A,A,Correct
What mitigation technique recommends requiring Multi-factor Authentication (MFA) for delegated administrator accounts to prevent abuse in trusted relationships?,B,C,Incorrect
"To detect adversarial activities involving trusted relationships, what should be monitored in application logs based on MITRE's detection guidance?",B,B,Correct
"What data source can help detect unauthorized network traffic patterns from a trusted entity, as per the MITRE ATT&CK detection guidance?",B,B,Correct
"When considering the MITRE ATT&CK technique T1537: Transfer Data to Cloud Account, which mitigation strategy involves preventing and blocking sensitive data from being shared with external entities?",A,A,Correct
"For monitoring anomalous file transfer activity between accounts within the same cloud provider, which data source is most relevant according to the MITRE ATT&CK technique T1537: Transfer Data to Cloud Account?",B,B,Correct
The technique T1537: Transfer Data to Cloud Account can be mitigated by configuring appropriate data sharing restrictions. Which of the following mitigation ID and name pairs corresponds to this strategy?,A,C,Incorrect
"According to the MITRE ATT&CK technique T1537: Transfer Data to Cloud Account, what application log event name might you monitor for in Microsoft 365 to detect inappropriate data sharing?",A,A,Correct
"In the context of MITRE ATT&CK for Enterprise, what is the primary purpose of utilizing 'Trusted Developer Utilities Proxy Execution' (T1127)?",B,B,Correct
Which data source is recommended for detecting abnormal uses of developer utilities under MITRE ATT&CK's detection strategy for T1127 on an enterprise platform?,C,C,Correct
"Under the mitigation tactics for MITRE ATT&CK's T1127 technique, which method is not suggested as a proactive countermeasure?",A,D,Incorrect
"Given the technique T1205 - Traffic Signaling, in which scenario might an adversary use this technique?",B,B,Correct
Which of the following malware examples triggers on a magic packet in TCP or UDP packets?,No content generated.,D,Incorrect
"For the Traffic Signaling technique (T1205), which library can be used to sniff signal packets?",B,B,Correct
"When adversaries use Traffic Signaling on embedded devices, which prerequisite condition must be met?",A,C,Incorrect
What method does the malware Chaos use when implementing Traffic Signaling?,B,B,Correct
Which detection method can help identify hidden command and control traffic following Traffic Signaling (T1205)?,B,B,Correct
"Based on the MITRE ATT&CK technique T1218.015 for Enterprise, which of the following practices is a recommended mitigation to prevent the abuse of Electron applications?",B,B,Correct
"MITRE ATT&CK's technique T1218.015 for Electron applications uses which of the following components to display the web content and execute back-end code, respectively?",A,C,Incorrect
Adversaries leveraging mmc.exe to execute malicious .msc files most closely pertains to which MITRE ATT&CK technique and tactic?,D,D,Correct
Which of the following mitigations is recommended to prevent the misuse of MMC within an environment?,A,C,Incorrect
What data source(s) should be monitored to detect the malicious use of MMC according to MITRE ATT&CK?,D,D,Correct
Which of the following describes a potential mitigation for T1218.013 (System Binary Proxy Execution: Mavinject) on an Enterprise platform?,B,B,Correct
How can mavinject.exe be used for defense evasion according to T1218.013?,B,C,Incorrect
Which data source and component can be used to detect malicious usage of mavinject.exe related to T1218.013 on an Enterprise platform?,B,D,Incorrect
What primary MITRE ATT&CK tactic corresponds to the ID T1087.002?,B,A,Incorrect
Which PowerShell cmdlet mentioned in T1087.002 can be used to enumerate members of Active Directory groups?,D,D,Correct
What command on MacOS can be used for domain account discovery according to T1087.002?,A,D,Incorrect
Which adversary group used built-in net commands to enumerate domain administrator users as per the examples provided?,B,B,Correct
"Which tool listed in the document can be used to collect information about domain users, including identification of domain admin accounts?",C,C,Correct
"In the document, what mitigation ID involves preventing administrator accounts from being enumerated during elevation?",B,A,Incorrect
What is the primary purpose of verclsid.exe according to MITRE ATT&CK Technique T1218.012?,A,A,Correct
Which of the following mitigations is recommended by MITRE ATT&CK for preventing the misuse of verclsid.exe (T1218.012)?,B,B,Correct
Which data sources should be monitored to detect the misuse of verclsid.exe as per the MITRE ATT&CK technique T1218.012?,A,A,Correct
What adversarial technique involves abusing rundll32.exe to proxy execution of malicious code as specified by MITRE ATT&CK Technique ID T1218.011?,B,A,Incorrect
"Which function can rundll32.exe use to execute Control Panel Item files through an undocumented shell32.dll function? (T1218.011, Enterprise)",A,A,Correct
During which notable cyberattack was rundll32.exe used to execute a supplied DLL as described in MITRE ATT&CK T1218.011?,B,B,Correct
"Which malware has used rundll32.exe for persistence by modifying a Registry value? (T1218.011, Enterprise)",A,A,Correct
"According to MITRE ATT&CK T1218.011, what is a common tactic used by adversaries to obscure malicious code when using rundll32.exe?",B,B,Correct
"Which data source and data component are most relevant for detecting rundll32.exe abuses, as mentioned in the detection section of MITRE ATT&CK T1218.011?",B,D,Incorrect
What is the technique ID associated with “System Binary Proxy Execution: Regsvr32”?,B,D,Incorrect
Which group has used Regsvr32.exe to execute a scheduled task that downloaded and injected a backdoor?,No content generated.,A,Incorrect
During which campaign did Lazarus Group use regsvr32 to execute malware?,A,B,Incorrect
Which detection method can identify the origin and purpose of the DLL being loaded by regsvr32.exe?,A,C,Incorrect
Which mitigation technique involves using Microsoft’s EMET (Exploit Protection)?,B,B,Correct
What command-line argument does the Analytic 2 detection method look for in regsvr32.exe process creation events?,A,C,Incorrect
Which mitigation strategy mentioned is most specific to preventing misuse of Regsvcs.exe and Regasm.exe in T1218.009 for Defense Evasion?,A,A,Correct
"Adversaries can potentially abuse which system binary for executing malicious payloads, as mentioned in MITRE ATT&CK's T1218.008?",A,D,Incorrect
Which cyber threat group has been documented using odbcconf.exe for executing malicious DLL files? (T1218.008),No content generated.,A,Incorrect
What is one mitigation strategy recommended for countering the threat posed by the misuse of odbcconf.exe? (T1218.008),C,C,Correct
Which procedure uses msiexec.exe to disable security tools on the system? (MITRE ATT&CK: System Binary Proxy Execution: Msiexec - T1218.007),A,C,Incorrect
