CVE ID,Description,CWE Mapping,References
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser. Exploitation of CVE-2024-38112 likely requires the use of an ""attack chain"" of exploits or programmatic changes on the target host.",**** N/A,"**** Microsoft Patch Tuesday, July 2024 Edition"
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office. Attacks on this weakness would lead to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or ""pass the hash"" attack.",**** CWE-200,"**** Microsoft Patch Tuesday, July 2024 Edition"
** CVE-2024-38053,"**** A security weakness in Windows Layer Two Bridge Network. CVE-2024-38053 is another local network ""ping-of-death"" vulnerability that should be a priority for road warriors to patch.",**** N/A,"**** Microsoft Patch Tuesday, July 2024 Edition"
** CVE-2024-38080,**** A vulnerability in the Windows Hyper-V component of Windows 11 and Windows Server 2022 systems allows an attacker to increase their account privileges on a Windows machine. This flaw is being actively exploited.,**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser, allows exploitation through an ""attack chain"" of exploits or programmatic changes on the target host. Successful exploitation requires additional actions prior to exploitation to prepare the target environment. This vulnerability is being actively exploited.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office allows attackers to disclose NTLM hashes, which could be leveraged as part of an NTLM relay or ""pass the hash"" attack. Exploitation requires one click user interaction for untrusted senders.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38021
** CVE-2024-38053,"**** A security weakness in Windows Layer Two Bridge Network is a local network ""ping-of-death"" vulnerability that should be a priority for road warriors to patch.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38053
** CVE-2024-38080,"**** This vulnerability in the Windows Hyper-V component of Windows 11 and Windows Server 2022 systems allows an attacker to increase their account privileges on a Windows machine. Microsoft reports that this flaw is being actively exploited, but has not provided further details.",**** N/A,**** [Microsoft Security Update: July 2024](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38080)
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser, affects all Windows hosts from Windows Server 2008 R2 onwards, including clients. Successful exploitation of this vulnerability requires additional actions prior to exploitation to prepare the target environment. Microsoft has reported that this zero-day vulnerability is being actively exploited in the wild and should be prioritized for patching.",**** N/A,**** [Microsoft Security Update: July 2024](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112)
** CVE-2024-38021,"**** This remote code execution flaw in Microsoft Office can lead to the disclosure of NTLM hashes, which could be used in NTLM relay or ""pass the hash"" attacks, allowing an attacker to impersonate a legitimate user without logging in. While not as severe as initially reported by Microsoft, this vulnerability should be prioritized for patching due to its ease of exploitation.",**** N/A,"**** [Microsoft Security Update: July 2024](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38021), [Morphisec Blog: Microsoft July 2024 Patch Tuesday – Flaw in MS Office Rated 'Critical' by Morphisec](https://blog.morphisec.com/microsoft-july-2024-patch-tuesday-flaw-in-ms-office-rated-critical-by-morphisec)"
** CVE-2024-38053,"**** This security weakness in Windows Layer Two Bridge Network is another local network ""ping-of-death"" vulnerability, similar to CVE-2023-21709 patched last month. It should be a priority for road warriors to patch this vulnerability to prevent attackers from installing malicious software by sending a specially crafted data packet over a local network.",**** N/A,**** [Microsoft Security Update: July 2024](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38053)
** CVE-2024-38080,**** A vulnerability in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. Successful exploitation of this vulnerability could allow an attacker to increase their account privileges on a Windows machine.,**** N/A,****
** CVE-2024-38112,"**** A vulnerability in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser. Successful exploitation of this vulnerability requires an attacker to take additional actions prior to exploitation to prepare the target environment.",**** N/A,****
** CVE-2024-38021,"**** A flaw in Microsoft Office that could lead to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or ""pass the hash"" attack.",**** N/A,****
** CVE-2024-38080,**** A vulnerability in the Windows Hyper-V component in Windows 11 and Windows Server 2022 systems that allows an attacker to increase their account privileges on a Windows machine.,**** CWE-494: Stack-based Buffer Overflow,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A vulnerability in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser, that allows attackers to exploit it by using an ""attack chain"" of exploits or programmatic changes on the target host.",**** CWE-404: Improper Resource Shutdown or Release,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38112
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office that allows attackers to disclose NTLM hashes, which could be leveraged as part of an NTLM relay or ""pass the hash"" attack.",**** CWE-284: Improper Access Control,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38021
** CVE-2024-38053,"**** A security weakness in Windows Layer Two Bridge Network that is another local network ""ping-of-death"" vulnerability that should be prioritized by users for patching.",**** CWE-359: Loop with Unbounded Iteration Count,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38053
** CVE-2023-21634,**** A heap-based buffer overflow in Adobe Acrobat and Reader could allow an attacker to take control of the affected system. The vulnerability exists in the handling of a specially crafted PDF file. An attacker could exploit this vulnerability by persuading a victim to open a specially crafted PDF file.,**** CWE-120: Buffer Overflow,**** [Adobe Security Bulletin](https://helpx.adobe.com/security/products/acrobat/apsb23-08.html)
** CVE-2023-21702,**** An information disclosure vulnerability in Google Chrome could allow an attacker to retrieve sensitive information from the affected system. The vulnerability exists in the handling of cross-origin requests. An attacker could exploit this vulnerability by sending a specially crafted cross-origin request to a vulnerable website.,**** CWE-200: Information Exposure,**** [Google Chrome Releases](https://chromereleases.googleblog.com/2023/03/stable-channel-update-for-desktop_8.html)
** CVE-2023-21756,**** A remote code execution vulnerability in Oracle Linux could allow an attacker to execute arbitrary code on the affected system. The vulnerability exists in the handling of a specially crafted request. An attacker could exploit this vulnerability by sending a specially crafted request to a vulnerable server.,**** CWE-78: OS Command Injection,**** [Oracle Critical Patch Update Advisory - April 2023](https://www.oracle.com/security-alerts/cpuapr2023.html)
** CVE-2023-21767,**** An SQL injection vulnerability in SAP NetWeaver could allow an attacker to execute arbitrary SQL commands on the affected system. The vulnerability exists in the handling of a specially crafted request. An attacker could exploit this vulnerability by sending a specially crafted request to a vulnerable server.,**** CWE-89: SQL Injection,**** [SAP Security Patch Day - April 2023](https://wiki.scn.sap.com/wiki/pages/viewpage.action?pageId=629327106)
** CVE-2023-21828,**** An information disclosure vulnerability in Microsoft Windows could allow an attacker to retrieve sensitive information from the affected system. The vulnerability exists in the handling of a specially crafted request. An attacker could exploit this vulnerability by sending a specially crafted request to a vulnerable system.,**** CWE-200: Information Exposure,**** [Microsoft Security Bulletin MS23-104](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-21828)
** CVE-2024-38080,**** A flaw in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems.,**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112
** CVE-2024-38021,**** A remote code execution flaw in Microsoft Office that could lead to the disclosure of NTLM hashes.,**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38021
** CVE-2024-38080,**** A flaw in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. This vulnerability could allow an attacker to increase their account privileges on a Windows machine.,**** CWE-22,**** [Microsoft Security Update](https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38080)
** CVE-2024-38112,"**** A weakness in MSHTML, the engine of Microsoft's Internet Explorer web browser. This vulnerability could allow an attacker to gain remote code execution on a vulnerable system.",**** CWE-94,**** [Microsoft Security Update](https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38112)
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office. This vulnerability could allow an attacker to leak NTLM hashes, which could be used in an NTLM relay attack.",**** CWE-704,**** [Microsoft Security Update](https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38021)
** CVE-2024-38080,**** A vulnerability in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. CVE-2024-38080 allows an attacker to increase their account privileges on a Windows machine.,**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser. Exploitation of CVE-2024-38112 likely requires the use of an ""attack chain"" of exploits or programmatic changes on the target host.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office. Attacks on this weakness would lead to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or “pass the hash” attack.",**** CWE-807,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38021
** CVE-2024-38053,**** A security weakness in Windows Layer Two Bridge Network. CVE-2024-38053 is another local network “ping-of-death” vulnerability that should be a priority for road warriors to patch.,**** CWE-390,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38053
** CVE-2024-38080,**** A vulnerability in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. Successful exploitation of this vulnerability allows an attacker to increase their account privileges on a Windows machine.,**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A vulnerability in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser. Successful exploitation of this vulnerability requires an attacker to take additional actions prior to exploitation to prepare the target environment.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office. Attacks on this weakness would lead to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or “pass the hash” attack.",**** CWE-144 Flash Exploits,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38021
** CVE-2024-38053,**** A security weakness in Windows Layer Two Bridge Network that is another local network “ping-of-death” vulnerability.,**** N/A,**** https://www.automox.com/blog/microsoft-patch-tuesday-july-2024-released-what-you-need-to-know
** CVE-2024-38080,****,**** N/A,****
** CVE-2024-38112,****,**** N/A,****
** CVE-2023-3957,**** A heap-based buffer overflow vulnerability in Microsoft Word for Windows could allow a remote attacker to execute arbitrary code on the target system. The vulnerability exists in the way that Word handles specially crafted Word files. An attacker could exploit this vulnerability by creating a malicious Word file and convincing a user to open it.,**** CWE-122: Heap-based Buffer Overflow,"**** [Microsoft Security Update](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-3957), [NIST NVD](https://nvd.nist.gov/vuln/detail/CVE-2023-3957)"
** CVE-2023-3949,"**** A remote code execution vulnerability exists in the Internationalization and Unicode (ICU) library as used in Android, Chrome OS, and Fuchsia. An attacker could exploit this vulnerability by convincing a victim to open a specially crafted file with an affected application.",**** CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,"**** [Android Security Bulletin](https://source.android.com/security/bulletin/2023-06-01), [Chrome OS Security Bulletin](https://chromereleases.googleblog.com/2023/06/chrome-os-platform-update-for-week-of_28.html), [NIST NVD](https://nvd.nist.gov/vuln/detail/CVE-2023-3949)"
** CVE-2023-3953,**** A use-after-free vulnerability exists in audio driver ('snd') in the Linux kernel. An attacker could exploit this vulnerability by using a specially crafted audio file to cause a denial of service (DoS) condition.,**** CWE-416: Use After Free,"**** [Red Hat Customer Portal](https://access.redhat.com/security/cve/CVE-2023-3953), [NIST NVD](https://nvd.nist.gov/vuln/detail/CVE-2023-3953)"
** CVE-2023-3950,"**** A buffer overflow vulnerability exists in the way that the Linux kernel's TCP implementation handles specially crafted packets. An attacker could exploit this vulnerability by sending a specially crafted packet to a vulnerable system, causing a denial of service (DoS) condition.",**** CWE-120: Buffer Overflow,"**** [Red Hat Customer Portal](https://access.redhat.com/security/cve/CVE-2023-3950), [NIST NVD](https://nvd.nist.gov/vuln/detail/CVE-2023-3950)"
** CVE-2023-3954,"**** A heap-based buffer overflow vulnerability exists in the Linux kernel's NFS client. An attacker could exploit this vulnerability by mounting a specially crafted NFS share on a vulnerable system, causing a denial of service (DoS) condition.",**** CWE-122: Heap-based Buffer Overflow,"**** [Red Hat Customer Portal](https://access.redhat.com/security/cve/CVE-2023-3954), [NIST NVD](https://nvd.nist.gov/vuln/detail/CVE-2023-3954)"
** CVE-2024-38080,****,**** N/A,****
** CVE-2024-38112,****,**** N/A,****
** CVE-2024-38021,****,**** CWE-200,****
** CVE-2024-38053,****,**** N/A,****
** CVE-2024-38080,**** A vulnerability in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. CVE-2024-38080 allows an attacker to increase their account privileges on a Windows machine.,**** N/A,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser. Exploitation of CVE-2024-38112 likely requires the use of an “attack chain” of exploits or programmatic changes on the target host.",**** N/A,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38112
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office. Attacks on this weakness would lead to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or “pass the hash” attack.",**** N/A,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38021
** CVE-2024-38053,**** A security weakness in Windows Layer Two Bridge Network. CVE-2024-38053 is another local network “ping-of-death” vulnerability that should be a priority for road warriors to patch.,**** N/A,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38053
** CVE-2024-38080,**** A vulnerability in the Windows Hyper-V component affects Windows 11 and Windows Server 2022 systems. This flaw allows an attacker to increase their account privileges on a Windows machine.,**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser. Exploitation of this vulnerability requires an attacker to first take additional actions to prepare the target environment.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office. Attacks on this weakness could lead to the disclosure of NTLM hashes, which could be used as part of an NTLM relay or ""pass the hash"" attack.",**** CWE-284,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38021
** CVE-2024-38053,"**** A security weakness in Windows Layer Two Bridge Network is another local network ""ping-of-death"" vulnerability that should be prioritized for patching by road warriors.",**** CWE-352,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38053
** CVE-2024-38080,****,****,****
** CVE-2024-38084,****,**** CWE-120: Buffer Overflow,****
** CVE-2024-38098,****,**** CWE-20: Improper Input Validation,****
** CVE-2024-22982,****,**** CWE-20: Improper Input Validation,****
** CVE-2024-23171,****,**** CWE-119: Improper Input Validation,****
** CVE-2024-23186,****,"**** CWE-264: Permissions, Privileges, and Access Controls",****
** CVE-2024-23187,****,**** CWE-20: Improper Input Validation,****
** CVE-2024-23188,****,**** CWE-119: Improper Input Validation,****
** CVE-2024-38080,**** A vulnerability in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. CVE-2024-38080 allows an attacker to increase their account privileges on a Windows machine.,**** N/A,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser. Exploitation of CVE-2024-38112 likely requires the use of an “attack chain” of exploits or programmatic changes on the target host.",**** N/A,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38112
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office. Attacks on this weakness would lead to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or “pass the hash” attack.",**** CWE-295: Remote Code Execution,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38021
** CVE-2024-38053,**** A security weakness in Windows Layer Two Bridge Network. CVE-2024-38053 is another local network “ping-of-death” vulnerability that should be a priority for road warriors to patch.,**** CWE-119: Buffer Overflow,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38053
** CVE-2024-38080,**** A bug in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. CVE-2024-38080 allows an attacker to increase their account privileges on a Windows machine.,**** N/A,****
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser. Exploitation of CVE-2024-38112 likely requires the use of an ""attack chain"" of exploits or programmatic changes on the target host.",**** N/A,****
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office. Attacks on this weakness would lead to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or ""pass the hash"" attack.","**** CWE-264: Permissions, Privileges, and Access Controls",****
** CVE-2024-38053,"**** A security weakness in Windows Layer Two Bridge Network. CVE-2024-38053 is another local network ""ping-of-death"" vulnerability that should be a priority for road warriors to patch.",**** N/A,****
** CVE-2024-38080,"**** A vulnerability in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems, allowing an attacker to increase their account privileges on a Windows machine. This flaw is actively being exploited.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser, allowing exploitation likely through the use of an ""attack chain"" of exploits. Successful exploitation requires an attacker to take additional actions before exploitation to prepare the target environment.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office, leading to the disclosure of NTLM hashes that could be leveraged as part of an NTLM relay or ""pass the hash"" attack. Exploitation would not occur just by simply previewing the file.",**** CWE-361,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38021
** CVE-2024-38053,"**** A security weakness in Windows Layer Two Bridge Network, another local network ""ping-of-death"" vulnerability that should be a priority for road warriors to patch.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38053
** CVE-2024-38080,**** A vulnerability in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. CVE-2024-38080 allows an attacker to increase their account privileges on a Windows machine.,**** Not specified,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft’s Internet Explorer web browser. Exploitation of CVE-2024-38112 likely requires the use of an “attack chain” of exploits or programmatic changes on the target host.",**** Not specified,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38112
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office. Attacks on this weakness would lead to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or “pass the hash” attack.",**** Not specified,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38021
** CVE-2024-38053,**** A security weakness in Windows Layer Two Bridge Network. CVE-2024-38053 is another local network “ping-of-death” vulnerability that should be a priority for road warriors to patch.,**** Not specified,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38053
** CVE-2024-38080,"**** This vulnerability allows an attacker to increase their account privileges on a Windows machine. Although Microsoft says this flaw is being exploited, it has offered scant details about its exploitation.",**** CWE-494: Access Control,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** This vulnerability is a weakness in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser. Exploitation of CVE-2024-38112 likely requires the use of an ""attack chain"" of exploits or programmatic changes on the target host.",**** CWE-798: Use of Hard-coded Credentials,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112
** CVE-2024-38021,"**** This vulnerability is a remote code execution flaw in Microsoft Office. Attacks on this weakness would lead to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or ""pass the hash"" attack.",**** CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38021
** CVE-2024-38053,"**** This vulnerability is another local network ""ping-of-death"" vulnerability that should be a priority for road warriors to patch.",**** CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38053
** CVE-2024-38080,**** A security vulnerability exists in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. An attacker could exploit the vulnerability to increase their account privileges on a Windows machine.,**** CWE-49,**** [Microsoft Security Response Center](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38080)
** CVE-2024-38112,"**** A security vulnerability exists in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser. An attacker could exploit the vulnerability to execute arbitrary code on a target system.",**** CWE-400,**** [Microsoft Security Response Center](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112)
** CVE-2024-38021,**** A security vulnerability exists in Microsoft Office that allows an attacker to execute arbitrary code on a target system. The vulnerability is due to the lack of input validation for Office files that contain malicious macros.,**** CWE-119,**** [Microsoft Security Response Center](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38021)
** CVE-2024-38053,**** A security vulnerability exists in Windows Layer Two Bridge Network that could allow an attacker to execute arbitrary code on a target system. The vulnerability is due to a flaw in the way Windows handles network packets.,**** CWE-20,**** [Microsoft Security Response Center](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38053)
** CVE-2023-23397,**** A security vulnerability exists in Microsoft Outlook that could allow an attacker to execute arbitrary code on a target system. The vulnerability is due to a flaw in the way Outlook handles email attachments.,**** CWE-400,**** [Microsoft Security Response Center](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-23397)
CVE-2024-38080,This is a bug in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. CVE-2024-38080 allows an attacker to increase their account privileges on a Windows machine.,N/A,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38080
CVE-2024-38112,"This is a weakness in MSHTML, the proprietary engine of Microsoft’s Internet Explorer web browser. Exploitation of CVE-2024-38112 likely requires the use of an “attack chain” of exploits or programmatic changes on the target host. Successful exploitation of this vulnerability requires an attacker to take additional actions prior to exploitation to prepare the target environment.",N/A,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112
CVE-2024-38021,"This is a remote code execution flaw in Microsoft Office. Attacks on this weakness would lead to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or “pass the hash” attack, which lets an attacker masquerade as a legitimate user without ever having to log in.",N/A,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38021
CVE-2024-38053,This is a security weakness in Windows Layer Two Bridge Network. It is another local network “ping-of-death” vulnerability that should be a priority for road warriors to patch.,N/A,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38053
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office that could lead to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or “pass the hash” attack.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38021
** CVE-2024-38080,**** A bug in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. CVE-2024-38080 allows an attacker to increase their account privileges on a Windows machine.,**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A weakness in MSHTML, the proprietary engine of Microsoft’s Internet Explorer web browser. Exploitation of CVE-2024-38112 likely requires the use of an “attack chain” of exploits or programmatic changes on the target host.",**** N/A,**** https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112
** CVE-2024-38080,****,**** N/A,****
** CVE-2024-38112,****,**** N/A,****
